tick;date;act;G;R_c;R_e;R_b;P;A;W;T_v;T_d;Pr;B;A_f;A_l;M_m;M_a;effects;events
0;1789 H1;1;-4100.0;100.0;1.0;0.0;104.0;100.0;0.0;73.6;62.0;78.0;0.0;90.0;80.0;1000.0;0.0;;
1;1789 H2;1;-3800.0;70.0;2.0;500.0;108.0;96.2;0.0;53.8;57.0;66.0;0.0;80.0;75.0;1000.0;400.0;;Шок: штурм Бастилии / Декрет: отмена феодальных привилегий / Декрет: Декларация прав человека и гражданина / Шок: поход на Версаль (король переезжает в Париж) / Декрет: национализация имуществ духовенства / Декрет: первая эмиссия ассигнат (400 млн)
2;1790 H1;1;-3500.0;50.0;3.0;800.0;112.0;92.5;0.0;60.6;69.0;54.0;0.0;70.0;75.0;990.0;800.0;;Декрет: гражданская конституция духовенства / Декрет: эмиссия ассигнат (400 млн)
3;1790 H2;1;-2800.0;50.0;4.0;800.0;116.0;86.0;0.0;61.0;66.0;57.0;0.0;60.0;75.0;980.0;1600.0;;Шок: Праздник Федерации (затишье единства) / Декрет: эмиссия ассигнат (800 млн)
4;1791 H1;1;-2500.0;50.0;10.0;800.0;120.0;82.9;0.0;86.0;68.0;45.0;0.0;50.0;65.0;970.0;2000.0;;Шок: бегство короля в Варенн / Декрет: эмиссия ассигнат (400 млн)
5;1791 H2;1;-2600.0;50.0;11.0;800.0;124.0;82.8;0.0;102.6;70.0;43.0;0.0;40.0;65.0;960.0;2000.0;;Декрет: закон Ле Шапелье / Закрытие Учредительного собрания
6;1792 H1;2;-2300.0;50.0;12.0;800.0;128.0;79.8;35.0;95.8;72.0;41.0;0.0;30.0;60.0;950.0;2400.0;;Декрет: объявление войны Австрии / Декрет: эмиссия ассигнат (400 млн) / ⚠ ВОССТАНИЕ В ПАРИЖЕ (секции вышли на улицы)
